"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","201610","2016 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201611","2016 November","1","Milk (per litre), actual fat and protein","Euro","0.377"
"AJM07","Manufacturing Milk Prices (including VAT)","201611","2016 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201612","2016 December","1","Milk (per litre), actual fat and protein","Euro","0.362"
"AJM07","Manufacturing Milk Prices (including VAT)","201612","2016 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.328"
"AJM07","Manufacturing Milk Prices (including VAT)","201701","2017 January","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201701","2017 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201702","2017 February","1","Milk (per litre), actual fat and protein","Euro","0.356"
"AJM07","Manufacturing Milk Prices (including VAT)","201702","2017 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.336"
"AJM07","Manufacturing Milk Prices (including VAT)","201703","2017 March","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201703","2017 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201704","2017 April","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201704","2017 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","201705","2017 May","1","Milk (per litre), actual fat and protein","Euro","0.341"
"AJM07","Manufacturing Milk Prices (including VAT)","201705","2017 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201706","2017 June","1","Milk (per litre), actual fat and protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201706","2017 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.339"
"AJM07","Manufacturing Milk Prices (including VAT)","201707","2017 July","1","Milk (per litre), actual fat and protein","Euro","0.366"
"AJM07","Manufacturing Milk Prices (including VAT)","201707","2017 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201708","2017 August","1","Milk (per litre), actual fat and protein","Euro","0.394"
"AJM07","Manufacturing Milk Prices (including VAT)","201708","2017 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.364"
"AJM07","Manufacturing Milk Prices (including VAT)","201709","2017 September","1","Milk (per litre), actual fat and protein","Euro","0.426"
"AJM07","Manufacturing Milk Prices (including VAT)","201709","2017 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.37"
"AJM07","Manufacturing Milk Prices (including VAT)","201710","2017 October","1","Milk (per litre), actual fat and protein","Euro","0.438"
"AJM07","Manufacturing Milk Prices (including VAT)","201710","2017 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.369"
"AJM07","Manufacturing Milk Prices (including VAT)","201711","2017 November","1","Milk (per litre), actual fat and protein","Euro","0.441"
"AJM07","Manufacturing Milk Prices (including VAT)","201711","2017 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.373"
"AJM07","Manufacturing Milk Prices (including VAT)","201712","2017 December","1","Milk (per litre), actual fat and protein","Euro","0.426"
"AJM07","Manufacturing Milk Prices (including VAT)","201712","2017 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","201801","2018 January","1","Milk (per litre), actual fat and protein","Euro","0.399"
"AJM07","Manufacturing Milk Prices (including VAT)","201801","2018 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.373"
"AJM07","Manufacturing Milk Prices (including VAT)","201802","2018 February","1","Milk (per litre), actual fat and protein","Euro","0.382"
"AJM07","Manufacturing Milk Prices (including VAT)","201802","2018 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.362"
"AJM07","Manufacturing Milk Prices (including VAT)","201803","2018 March","1","Milk (per litre), actual fat and protein","Euro","0.343"
"AJM07","Manufacturing Milk Prices (including VAT)","201803","2018 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.332"
"AJM07","Manufacturing Milk Prices (including VAT)","201804","2018 April","1","Milk (per litre), actual fat and protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201804","2018 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201805","2018 May","1","Milk (per litre), actual fat and protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201805","2018 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201806","2018 June","1","Milk (per litre), actual fat and protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","201806","2018 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201807","2018 July","1","Milk (per litre), actual fat and protein","Euro","0.328"
"AJM07","Manufacturing Milk Prices (including VAT)","201807","2018 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","201808","2018 August","1","Milk (per litre), actual fat and protein","Euro","0.353"
"AJM07","Manufacturing Milk Prices (including VAT)","201808","2018 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.324"
"AJM07","Manufacturing Milk Prices (including VAT)","201809","2018 September","1","Milk (per litre), actual fat and protein","Euro","0.382"
"AJM07","Manufacturing Milk Prices (including VAT)","201809","2018 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201810","2018 October","1","Milk (per litre), actual fat and protein","Euro","0.401"
"AJM07","Manufacturing Milk Prices (including VAT)","201810","2018 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201811","2018 November","1","Milk (per litre), actual fat and protein","Euro","0.404"
"AJM07","Manufacturing Milk Prices (including VAT)","201811","2018 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201812","2018 December","1","Milk (per litre), actual fat and protein","Euro","0.385"
"AJM07","Manufacturing Milk Prices (including VAT)","201812","2018 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.338"
"AJM07","Manufacturing Milk Prices (including VAT)","201901","2019 January","1","Milk (per litre), actual fat and protein","Euro","0.349"
"AJM07","Manufacturing Milk Prices (including VAT)","201901","2019 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201902","2019 February","1","Milk (per litre), actual fat and protein","Euro","0.352"
"AJM07","Manufacturing Milk Prices (including VAT)","201902","2019 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201903","2019 March","1","Milk (per litre), actual fat and protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","201903","2019 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201904","2019 April","1","Milk (per litre), actual fat and protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","201904","2019 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.314"
"AJM07","Manufacturing Milk Prices (including VAT)","201905","2019 May","1","Milk (per litre), actual fat and protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201905","2019 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201906","2019 June","1","Milk (per litre), actual fat and protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201906","2019 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201907","2019 July","1","Milk (per litre), actual fat and protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201907","2019 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.306"
"AJM07","Manufacturing Milk Prices (including VAT)","201908","2019 August","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201908","2019 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","201909","2019 September","1","Milk (per litre), actual fat and protein","Euro","0.356"
"AJM07","Manufacturing Milk Prices (including VAT)","201909","2019 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.304"
"AJM07","Manufacturing Milk Prices (including VAT)","201910","2019 October","1","Milk (per litre), actual fat and protein","Euro","0.378"
"AJM07","Manufacturing Milk Prices (including VAT)","201910","2019 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.306"
"AJM07","Manufacturing Milk Prices (including VAT)","201911","2019 November","1","Milk (per litre), actual fat and protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","201911","2019 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.31"
"AJM07","Manufacturing Milk Prices (including VAT)","201912","2019 December","1","Milk (per litre), actual fat and protein","Euro","0.376"
"AJM07","Manufacturing Milk Prices (including VAT)","201912","2019 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.323"
"AJM07","Manufacturing Milk Prices (including VAT)","202001","2020 January","1","Milk (per litre), actual fat and protein","Euro","0.357"
"AJM07","Manufacturing Milk Prices (including VAT)","202001","2020 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","202002","2020 February","1","Milk (per litre), actual fat and protein","Euro","0.359"
"AJM07","Manufacturing Milk Prices (including VAT)","202002","2020 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","202003","2020 March","1","Milk (per litre), actual fat and protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","202003","2020 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.309"
"AJM07","Manufacturing Milk Prices (including VAT)","202004","2020 April","1","Milk (per litre), actual fat and protein","Euro","0.313"
"AJM07","Manufacturing Milk Prices (including VAT)","202004","2020 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","202005","2020 May","1","Milk (per litre), actual fat and protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","202005","2020 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","202006","2020 June","1","Milk (per litre), actual fat and protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202006","2020 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.31"
"AJM07","Manufacturing Milk Prices (including VAT)","202007","2020 July","1","Milk (per litre), actual fat and protein","Euro","0.338"
"AJM07","Manufacturing Milk Prices (including VAT)","202007","2020 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","202008","2020 August","1","Milk (per litre), actual fat and protein","Euro","0.349"
"AJM07","Manufacturing Milk Prices (including VAT)","202008","2020 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.317"
"AJM07","Manufacturing Milk Prices (including VAT)","202009","2020 September","1","Milk (per litre), actual fat and protein","Euro","0.377"
"AJM07","Manufacturing Milk Prices (including VAT)","202009","2020 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","202010","2020 October","1","Milk (per litre), actual fat and protein","Euro","0.403"
"AJM07","Manufacturing Milk Prices (including VAT)","202010","2020 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","202011","2020 November","1","Milk (per litre), actual fat and protein","Euro","0.402"
"AJM07","Manufacturing Milk Prices (including VAT)","202011","2020 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202012","2020 December","1","Milk (per litre), actual fat and protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","202012","2020 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202101","2021 January","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","202101","2021 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202102","2021 February","1","Milk (per litre), actual fat and protein","Euro","0.384"
"AJM07","Manufacturing Milk Prices (including VAT)","202102","2021 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.348"
"AJM07","Manufacturing Milk Prices (including VAT)","202103","2021 March","1","Milk (per litre), actual fat and protein","Euro","0.383"
"AJM07","Manufacturing Milk Prices (including VAT)","202103","2021 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.358"
"AJM07","Manufacturing Milk Prices (including VAT)","202104","2021 April","1","Milk (per litre), actual fat and protein","Euro","0.377"
"AJM07","Manufacturing Milk Prices (including VAT)","202104","2021 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.358"
"AJM07","Manufacturing Milk Prices (including VAT)","202105","2021 May","1","Milk (per litre), actual fat and protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","202105","2021 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.365"
"AJM07","Manufacturing Milk Prices (including VAT)","202106","2021 June","1","Milk (per litre), actual fat and protein","Euro","0.385"
"AJM07","Manufacturing Milk Prices (including VAT)","202106","2021 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.364"
"AJM07","Manufacturing Milk Prices (including VAT)","202107","2021 July","1","Milk (per litre), actual fat and protein","Euro","0.383"
"AJM07","Manufacturing Milk Prices (including VAT)","202107","2021 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.363"
"AJM07","Manufacturing Milk Prices (including VAT)","202108","2021 August","1","Milk (per litre), actual fat and protein","Euro","0.404"
"AJM07","Manufacturing Milk Prices (including VAT)","202108","2021 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.366"
"AJM07","Manufacturing Milk Prices (including VAT)","202109","2021 September","1","Milk (per litre), actual fat and protein","Euro","0.437"
"AJM07","Manufacturing Milk Prices (including VAT)","202109","2021 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","202110","2021 October","1","Milk (per litre), actual fat and protein","Euro","0.479"
"AJM07","Manufacturing Milk Prices (including VAT)","202110","2021 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.384"
"AJM07","Manufacturing Milk Prices (including VAT)","202111","2021 November","1","Milk (per litre), actual fat and protein","Euro","0.501"
"AJM07","Manufacturing Milk Prices (including VAT)","202111","2021 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","202112","2021 December","1","Milk (per litre), actual fat and protein","Euro","0.499"
"AJM07","Manufacturing Milk Prices (including VAT)","202112","2021 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.417"
"AJM07","Manufacturing Milk Prices (including VAT)","202201","2022 January","1","Milk (per litre), actual fat and protein","Euro","0.475"
"AJM07","Manufacturing Milk Prices (including VAT)","202201","2022 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.428"
"AJM07","Manufacturing Milk Prices (including VAT)","202202","2022 February","1","Milk (per litre), actual fat and protein","Euro","0.49"
"AJM07","Manufacturing Milk Prices (including VAT)","202202","2022 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.448"
"AJM07","Manufacturing Milk Prices (including VAT)","202203","2022 March","1","Milk (per litre), actual fat and protein","Euro","0.505"
"AJM07","Manufacturing Milk Prices (including VAT)","202203","2022 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.465"
"AJM07","Manufacturing Milk Prices (including VAT)","202204","2022 April","1","Milk (per litre), actual fat and protein","Euro","0.528"
"AJM07","Manufacturing Milk Prices (including VAT)","202204","2022 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.498"
"AJM07","Manufacturing Milk Prices (including VAT)","202205","2022 May","1","Milk (per litre), actual fat and protein","Euro","0.553"
"AJM07","Manufacturing Milk Prices (including VAT)","202205","2022 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.524"
"AJM07","Manufacturing Milk Prices (including VAT)","202206","2022 June","1","Milk (per litre), actual fat and protein","Euro","0.572"
"AJM07","Manufacturing Milk Prices (including VAT)","202206","2022 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.53"
"AJM07","Manufacturing Milk Prices (including VAT)","202207","2022 July","1","Milk (per litre), actual fat and protein","Euro","0.595"
"AJM07","Manufacturing Milk Prices (including VAT)","202207","2022 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.549"
"AJM07","Manufacturing Milk Prices (including VAT)","202208","2022 August","1","Milk (per litre), actual fat and protein","Euro","0.616"
"AJM07","Manufacturing Milk Prices (including VAT)","202208","2022 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.557"
"AJM07","Manufacturing Milk Prices (including VAT)","202209","2022 September","1","Milk (per litre), actual fat and protein","Euro","0.662"
"AJM07","Manufacturing Milk Prices (including VAT)","202209","2022 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.559"
