,date,milk,fat,pro,month
185,2012-01-01,415.6,4.33,3.49,January
186,2012-02-01,388.6,4.37,3.51,February
187,2012-03-01,411.2,4.3,3.46,March
188,2012-04-01,414.6,4.28,3.46,April
189,2012-05-01,437.2,4.2,3.41,May
190,2012-06-01,424.8,4.14,3.39,June
191,2012-07-01,432.2,4.12,3.4,July
192,2012-08-01,420.9,4.16,3.42,August
193,2012-09-01,391.6,4.28,3.51,September
194,2012-10-01,394.6,4.37,3.56,October
195,2012-11-01,382.6,4.39,3.57,November
196,2012-12-01,401.8,4.4,3.56,December
197,2013-01-01,415.1,4.33,3.49,January
198,2013-02-01,379.3,4.34,3.49,February
199,2013-03-01,419.2,4.35,3.51,March
200,2013-04-01,416.4,4.3,3.47,April
201,2013-05-01,444.3,4.17,3.4,May
202,2013-06-01,430.8,4.11,3.37,June
203,2013-07-01,440.4,4.11,3.37,July
204,2013-08-01,433.8,4.13,3.41,August
205,2013-09-01,407.5,4.25,3.51,September
206,2013-10-01,413.9,4.34,3.58,October
207,2013-11-01,400.6,4.36,3.6,November
208,2013-12-01,424.1,4.33,3.58,December
209,2014-01-01,432.52,4.32,3.54,January
210,2014-02-01,391.52,4.29,3.53,February
211,2014-03-01,437.46,4.24,3.5,March
212,2014-04-01,434.96,4.22,3.49,April
213,2014-05-01,457.1,4.13,3.46,May
214,2014-06-01,440.85,4.07,3.44,June
215,2014-07-01,447.2,4.05,3.4,July
216,2014-08-01,439.7,4.1,3.42,August
217,2014-09-01,410.0,4.21,3.51,September
218,2014-10-01,410.88,4.25,3.54,October
219,2014-11-01,395.3,4.31,3.56,November
220,2014-12-01,414.28,4.34,3.57,December
221,2015-01-01,424.2,4.3,3.53,January
222,2015-02-01,385.8,4.31,3.53,February
223,2015-03-01,431.9,4.27,3.53,March
224,2015-04-01,434.1,4.24,3.51,April
225,2015-05-01,460.6,4.15,3.46,May
226,2015-06-01,453.4,4.11,3.44,June
227,2015-07-01,469.3,4.09,3.41,July
228,2015-08-01,462.3,4.11,3.44,August
229,2015-09-01,435.7,4.2,3.52,September
230,2015-10-01,440.8,4.32,3.6,October
231,2015-11-01,427.8,4.34,3.58,November
232,2015-12-01,451.7,4.48,3.55,December
233,2016-01-01,455.0,4.44,3.57,January
234,2016-02-01,432.0,4.41,3.54,February
235,2016-03-01,464.82,4.42,3.54,March
236,2016-04-01,453.99,4.39,3.53,April
237,2016-05-01,475.71,4.29,3.49,May
238,2016-06-01,459.39,4.16,3.41,June
239,2016-07-01,467.0,4.17,3.43,July
240,2016-08-01,458.0,4.22,3.46,August
241,2016-09-01,427.36,4.26,3.52,September
242,2016-10-01,428.88,4.42,3.64,October
243,2016-11-01,412.69,4.48,3.69,November
244,2016-12-01,441.45,4.39,3.64,December
245,2017-01-01,454.34,4.35,3.61,January
246,2017-02-01,417.33,4.35,3.61,February
247,2017-03-01,466.48,4.3,3.58,March
248,2017-04-01,456.07,4.28,3.58,April
249,2017-05-01,482.05,4.21,3.52,May
250,2017-06-01,469.33,4.21,3.48,June
251,2017-07-01,478.02,4.12,3.48,July
252,2017-08-01,471.29,4.16,3.51,August
253,2017-09-01,447.07,4.23,3.58,September
254,2017-10-01,453.41,4.27,3.62,October
255,2017-11-01,438.39,4.36,3.66,November
256,2017-12-01,460.4,4.38,3.65,December
257,2018-01-01,471.89,4.35,3.61,January
258,2018-02-01,428.14,4.36,3.62,February
259,2018-03-01,470.71,4.38,3.62,March
260,2018-04-01,466.04,4.28,3.56,April
261,2018-05-01,494.63,4.12,3.48,May
262,2018-06-01,481.44,4.04,3.42,June
263,2018-07-01,491.22,4.04,3.44,July
264,2018-08-01,480.75,4.04,3.46,August
265,2018-09-01,455.18,4.2,3.59,September
266,2018-10-01,460.51,4.33,3.67,October
267,2018-11-01,445.6,4.41,3.7,November
268,2018-12-01,469.1,4.4,3.67,December
269,2019-01-01,479.99,4.37,3.49,January
270,2019-02-01,437.67,4.41,3.67,February
271,2019-03-01,485.32,4.4,3.68,March
272,2019-04-01,472.88,4.37,3.62,April
273,2019-05-01,491.23,4.27,3.58,May
274,2019-06-01,473.85,4.2,3.48,June
275,2019-07-01,486.4,4.18,3.44,July
276,2019-08-01,476.75,4.17,3.5,August
277,2019-09-01,450.8,4.29,3.6,September
278,2019-10-01,454.8,4.41,3.67,October
279,2019-11-01,439.4,4.43,3.7,November
280,2019-12-01,465.6,4.37,3.67,December
281,2020-01-01,478.76,4.34,3.65,January
282,2020-02-01,451.78,4.37,3.62,February
283,2020-03-01,481.59,4.38,3.64,March
284,2020-04-01,470.74,4.33,3.65,April
285,2020-05-01,491.79,4.25,3.59,May
286,2020-06-01,474.84,4.14,3.52,June
287,2020-07-01,492.18,4.14,3.54,July
288,2020-08-01,480.91,4.14,3.5,August
289,2020-09-01,460.26,4.24,3.64,September
290,2020-10-01,463.77,4.37,3.7,October
291,2020-11-01,446.55,4.45,3.71,November
292,2020-12-01,473.33,4.43,3.69,December
293,2021-01-01,476.72,4.45,3.69,January
294,2021-02-01,429.27,4.46,3.69,February
295,2021-03-01,482.23,4.4,3.66,March
296,2021-04-01,472.87,4.39,3.62,April
297,2021-05-01,492.66,4.27,3.6,May
298,2021-06-01,476.9,4.14,3.49,June
299,2021-07-01,492.63,4.07,3.47,July
300,2021-08-01,488.23,4.17,3.53,August
301,2021-09-01,458.6,4.25,3.63,September
302,2021-10-01,463.09,4.38,3.68,October
303,2021-11-01,445.59,4.48,3.71,November
304,2021-12-01,465.06,4.49,3.72,December
305,2022-01-01,477.29,4.45,3.69,January
306,2022-02-01,438.15,4.46,3.69,February
307,2022-03-01,485.66,4.4,3.66,March
308,2022-04-01,469.2,4.37,3.64,April
309,2022-05-01,489.94,4.26,3.56,May
310,2022-06-01,477.21,4.17,3.52,June
311,2022-07-01,491.13,4.17,3.52,July
312,2022-08-01,481.27,4.18,3.53,August
313,2022-09-01,455.35,4.28,3.64,September
314,2022-10-01,461.0,4.4,3.72,October
