,date,milk,fat,pro,year,month
445,2012-01-01,133.3,3.98,3.25,2012,January
446,2012-02-01,236.6,4.06,3.24,2012,February
447,2012-03-01,473.0,3.99,3.22,2012,March
448,2012-04-01,637.3,3.81,3.32,2012,April
449,2012-05-01,735.0,3.75,3.34,2012,May
450,2012-06-01,684.3,3.76,3.33,2012,June
451,2012-07-01,609.8,3.85,3.25,2012,July
452,2012-08-01,546.8,3.94,3.34,2012,August
453,2012-09-01,446.6,4.13,3.53,2012,September
454,2012-10-01,364.2,4.34,3.72,2012,October
455,2012-11-01,227.6,4.38,3.61,2012,November
456,2012-12-01,138.0,4.14,3.37,2012,December
457,2013-01-01,125.5,4.0,3.26,2013,January
458,2013-02-01,222.9,4.03,3.25,2013,February
459,2013-03-01,468.1,3.97,3.18,2013,March
460,2013-04-01,568.7,3.86,3.19,2013,April
461,2013-05-01,733.2,3.66,3.32,2013,May
462,2013-06-01,700.9,3.71,3.36,2013,June
463,2013-07-01,652.7,3.73,3.31,2013,July
464,2013-08-01,592.7,3.92,3.39,2013,August
465,2013-09-01,498.5,4.16,3.62,2013,September
466,2013-10-01,418.3,4.4,3.77,2013,October
467,2013-11-01,276.4,4.48,3.72,2013,November
468,2013-12-01,164.8,4.26,3.47,2013,December
469,2014-01-01,132.0,4.11,3.3,2014,January
470,2014-02-01,214.0,4.11,3.28,2014,February
471,2014-03-01,470.7,4.08,3.2,2014,March
472,2014-04-01,697.0,3.87,3.3,2014,April
473,2014-05-01,785.5,3.75,3.35,2014,May
474,2014-06-01,732.4,3.73,3.35,2014,June
475,2014-07-01,688.0,3.82,3.37,2014,July
476,2014-08-01,608.2,3.97,3.48,2014,August
477,2014-09-01,519.2,4.17,3.67,2014,September
478,2014-10-01,426.3,4.49,3.85,2014,October
479,2014-11-01,237.7,4.55,3.72,2014,November
480,2014-12-01,137.6,4.25,3.43,2014,December
481,2015-01-01,114.8,4.11,3.27,2015,January
482,2015-02-01,215.1,4.15,3.3,2015,February
483,2015-03-01,454.0,4.06,3.21,2015,March
484,2015-04-01,784.3,3.82,3.35,2015,April
485,2015-05-01,875.1,3.78,3.45,2015,May
486,2015-06-01,819.2,3.8,3.45,2015,June
487,2015-07-01,768.9,3.93,3.43,2015,July
488,2015-08-01,693.9,4.04,3.54,2015,August
489,2015-09-01,604.2,4.24,3.74,2015,September
490,2015-10-01,536.3,4.43,3.89,2015,October
491,2015-11-01,347.9,4.6,3.76,2015,November
492,2015-12-01,181.6,4.37,3.48,2015,December
493,2016-01-01,147.6,4.17,3.32,2016,January
494,2016-02-01,287.1,4.24,3.31,2016,February
495,2016-03-01,594.6,4.15,3.22,2016,March
496,2016-04-01,760.8,4.0,3.27,2016,April
497,2016-05-01,926.6,3.81,3.38,2016,May
498,2016-06-01,853.2,3.85,3.37,2016,June
499,2016-07-01,782.5,3.93,3.4,2016,July
500,2016-08-01,699.3,4.08,3.49,2016,August
501,2016-09-01,583.8,4.33,3.69,2016,September
502,2016-10-01,500.1,4.54,3.88,2016,October
503,2016-11-01,337.1,4.68,3.84,2016,November
504,2016-12-01,178.3,4.4,3.53,2016,December
505,2017-01-01,148.7,4.15,3.34,2017,January
506,2017-02-01,272.9,4.22,3.35,2017,February
507,2017-03-01,620.9,4.14,3.23,2017,March
508,2017-04-01,866.3,3.9,3.36,2017,April
509,2017-05-01,999.6,3.8,3.41,2017,May
510,2017-06-01,917.9,3.86,3.4,2017,June
511,2017-07-01,875.3,3.9,3.42,2017,July
512,2017-08-01,786.6,4.08,3.54,2017,August
513,2017-09-01,654.0,4.34,3.76,2017,September
514,2017-10-01,534.3,4.58,3.82,2017,October
515,2017-11-01,380.8,4.65,3.75,2017,November
516,2017-12-01,205.5,4.57,3.58,2017,December
517,2018-01-01,161.8,4.23,3.4,2018,January
518,2018-02-01,294.2,4.25,3.37,2018,February
519,2018-03-01,627.5,4.23,3.2,2018,March
520,2018-04-01,823.1,4.05,3.21,2018,April
521,2018-05-01,993.1,3.81,3.39,2018,May
522,2018-06-01,924.7,3.82,3.34,2018,June
523,2018-07-01,853.4,3.91,3.33,2018,July
524,2018-08-01,823.8,4.12,3.49,2018,August
525,2018-09-01,721.8,4.35,3.77,2018,September
526,2018-10-01,642.0,4.53,3.95,2018,October
527,2018-11-01,461.2,4.74,3.94,2018,November
528,2018-12-01,258.5,4.58,3.66,2018,December
529,2019-01-01,175.3,4.21,3.42,2019,January
530,2019-02-01,303.6,4.32,3.47,2019,February
531,2019-03-01,708.7,4.23,3.32,2019,March
532,2019-04-01,953.3,3.94,3.4,2019,April
533,2019-05-01,1072.2,3.85,3.44,2019,May
534,2019-06-01,1001.0,3.92,3.46,2019,June
535,2019-07-01,943.2,3.96,3.46,2019,July
536,2019-08-01,842.8,4.16,3.55,2019,August
537,2019-09-01,721.9,4.42,3.79,2019,September
538,2019-10-01,604.7,4.74,3.94,2019,October
539,2019-11-01,418.1,4.84,3.85,2019,November
540,2019-12-01,241.4,4.58,3.62,2019,December
541,2020-01-01,176.2,4.31,3.48,2020,January
542,2020-02-01,331.7,4.29,3.38,2020,February
543,2020-03-01,725.7,4.27,3.29,2020,March
544,2020-04-01,982.7,3.97,3.43,2020,April
545,2020-05-01,1115.3,3.87,3.46,2020,May
546,2020-06-01,1031.0,3.97,3.45,2020,June
547,2020-07-01,985.0,4.04,3.51,2020,July
548,2020-08-01,867.6,4.17,3.57,2020,August
549,2020-09-01,725.4,4.43,3.78,2020,September
550,2020-10-01,646.8,4.71,3.99,2020,October
551,2020-11-01,449.8,4.86,3.85,2020,November
552,2020-12-01,258.8,4.67,3.67,2020,December
553,2021-01-01,182.2,4.42,3.51,2021,January
554,2021-02-01,352.4,4.45,3.44,2021,February
555,2021-03-01,829.7,4.32,3.33,2021,March
556,2021-04-01,1060.5,3.98,3.45,2021,April
557,2021-05-01,1181.0,3.94,3.49,2021,May
558,2021-06-01,1067.3,3.97,3.47,2021,June
559,2021-07-01,1017.3,3.99,3.43,2021,July
560,2021-08-01,917.4,4.19,3.54,2021,August
561,2021-09-01,776.7,4.43,3.73,2021,September
562,2021-10-01,649.6,4.77,3.95,2021,October
563,2021-11-01,465.9,4.9,3.89,2021,November
564,2021-12-01,258.5,4.75,3.72,2021,December
565,2022-01-01,183.3,4.41,3.47,2022,January
566,2022-02-01,367.5,4.44,3.42,2022,February
567,2022-03-01,808.6,4.33,3.33,2022,March
568,2022-04-01,1054.6,4.04,3.44,2022,April
569,2022-05-01,1166.0,3.95,3.45,2022,May
570,2022-06-01,1057.6,4.0,3.47,2022,June
571,2022-07-01,1022.8,4.03,3.47,2022,July
572,2022-08-01,919.01,4.21,3.53,2022,August
573,2022-09-01,785.62,4.56,3.75,2022,September
574,2022-10-01,698.49,4.81,3.97,2022,October
